Date,Price
1990/1/1,2857.050049
1990/1/2,2862.959961
1990/1/3,2861.820068
1990/1/4,2856.97998
1990/1/5,2874.689941
1990/1/6,2896.73999
1990/1/7,2897.52002
1990/1/8,2914.040039
1990/1/9,2901.129883
1990/1/10,2901.52002
1990/1/11,2896.719971
1990/1/12,2888.600098
1990/1/13,2878.050049
1990/1/14,2871.679932
1990/1/15,2877.129883
1990/1/16,2887.889893
1990/1/17,2888.919922
1990/1/18,2904.179932
1990/1/19,2904.97998
1990/1/20,2888.800049
1990/1/21,2905.810059
,
,
